period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.935,,,,,
1-5,0.917,,,,,
2-6,0.897,,,,,
3-7,0.875,,,,,
4-8,0.856,,,,,
5-9,0.841,,,,,
6-10,0.829,,,,,
7-11,0.825,,,,,
8-12,0.826,,,,,
9-13,0.832,,,,,
10-14,0.844,,,,,
11-15,0.860,,,,,
12-16,0.881,,,,,
13-17,0.905,,,,,
14-18,0.929,,,,,
15-19,0.952,,,,,
16-20,0.971,,,,,
17-21,0.985,,,,,
18-22,0.993,,,,,
19-23,0.997,,,,,
20-24,0.999,,,,,
