period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.931,,,,,
1-5,0.916,,,,,
2-6,0.902,,,,,
3-7,0.891,,,,,
4-8,0.884,,,,,
5-9,0.883,,,,,
6-10,0.888,,,,,
7-11,0.899,,,,,
8-12,0.916,,,,,
9-13,0.935,,,,,
10-14,0.955,,,,,
11-15,0.972,,,,,
12-16,0.985,,,,,
13-17,0.993,,,,,
14-18,0.997,,,,,
15-19,0.999,,,,,
16-20,1.000,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
