period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.950,,,,,
1-5,0.943,,,,,
2-6,0.941,,,,,
3-7,0.942,,,,,
4-8,0.947,,,,,
5-9,0.956,,,,,
6-10,,,,,,
7-11,,,,,,
8-12,,,,,,
9-13,,,,,,
10-14,,,,,,
11-15,,,,,,
12-16,,,,,,
13-17,,,,,,
14-18,,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
