period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.939,,,,,
1-5,0.922,,,,,
2-6,0.903,,,,,
3-7,0.880,,,,,
4-8,0.855,,,,,
5-9,0.823,,,,,
6-10,0.788,,,,,
7-11,0.756,,,,,
8-12,0.728,,,,,
9-13,0.705,,,,,
10-14,0.692,,,,,
11-15,0.689,,,,,
12-16,0.692,,,,,
13-17,0.701,,,,,
14-18,0.717,,,,,
15-19,0.738,,,,,
16-20,0.763,,,,,
17-21,0.792,,,,,
18-22,0.822,,,,,
19-23,0.853,,,,,
20-24,0.883,,,,,
