period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.910,,,,,
1-5,0.891,,,,,
2-6,0.875,,,,,
3-7,0.863,,,,,
4-8,0.856,,,,,
5-9,0.857,,,,,
6-10,0.864,,,,,
7-11,0.878,,,,,
8-12,0.897,,,,,
9-13,0.917,,,,,
10-14,0.937,,,,,
11-15,,,,,,
12-16,,,,,,
13-17,,,,,,
14-18,,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
