period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.913,,,,,
1-5,0.883,,,,,
2-6,0.851,,,,,
3-7,0.821,,,,,
4-8,0.792,,,,,
5-9,0.767,,,,,
6-10,0.748,,,,,
7-11,0.735,,,,,
8-12,0.731,,,,,
9-13,0.736,,,,,
10-14,0.748,,,,,
11-15,0.768,,,,,
12-16,0.794,,,,,
13-17,0.823,,,,,
14-18,0.853,,,,,
15-19,0.883,,,,,
16-20,0.910,,,,,
17-21,0.933,,,,,
18-22,0.953,,,,,
19-23,0.969,,,,,
20-24,0.980,,,,,
