"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.101532253612277,0.077595828696418,0.131797450376081,-2.18031429082083,0.0226780476069818
"All",0,"85-89",0.0664458999126761,0.0522226147881488,0.0841988761643607,-2.64261083391807,0.0170592765688454
"All",0,"90-94",0.0557209152021536,0.044425743491468,0.0696784615620953,-2.83006618933067,0.0147984193203481
"All",0,"95-99",0.061786215811339,0.0534795124196194,0.0712859849534392,-2.72029754348943,0.00610943642299816
"All",0,"00-04",0.0690961912761868,0.0606144021995674,0.078665450094573,-2.60065634131526,0.00510493840334903
"All",0,"05-09",0.0834239262041291,0.0749156188489475,0.09280160131646,-2.39670991535964,0.00355208636488617
"All",0,"10-14",NA,NA,NA,NA,NA
"bulawayo",1,"80-84",0.0771141367661065,0.0196850515714681,0.25799351290475,-2.48221894838674,0.529198053955806
"bulawayo",1,"85-89",0.0127610953385769,0.0017815489381441,0.0856039061467047,-4.34851094565875,1.02052713339756
"bulawayo",1,"90-94",0.0192394837068952,0.00509711573951564,0.0698655084411527,-3.9313636972208,0.469246853222593
"bulawayo",1,"95-99",0.048983220282861,0.0266642930219629,0.0882892755646312,-2.9660539104203,0.103763334249189
"bulawayo",1,"00-04",0.081013745091404,0.0528382443719117,0.122274001229286,-2.42865233290718,0.0545057415527149
"bulawayo",1,"05-09",0.0514790666553515,0.032946246969927,0.0795790329048626,-2.9137286067528,0.0564442266832697
"bulawayo",1,"10-14",NA,NA,NA,NA,NA
"harare",2,"80-84",0.0555262289962383,0.0177166600538359,0.160815820365719,-2.83377241266956,0.363451287911993
"harare",2,"85-89",0.0506501086790601,0.0188636066631212,0.128958934640669,-2.93083604903242,0.271175088459874
"harare",2,"90-94",0.0625427350719268,0.0389552691557639,0.0989420483626463,-2.70732108849383,0.0646339769264938
"harare",2,"95-99",0.0347003294734249,0.0200071761226685,0.0595285877887129,-3.32568941071826,0.0833250725571138
"harare",2,"00-04",0.0666273502146925,0.0410961095254325,0.10626233898327,-2.63968937424665,0.0677585851458866
"harare",2,"05-09",0.0724034414178109,0.0508394513815601,0.102129812790302,-2.55034306369381,0.0369128314934399
"harare",2,"10-14",NA,NA,NA,NA,NA
"manicaland",3,"80-84",0.112518133483431,0.0646685342073488,0.188632386150641,-2.06527369387211,0.0957093151874626
"manicaland",3,"85-89",0.0719348758425233,0.0332299140333216,0.148783890829459,-2.55734069969781,0.172133735164929
"manicaland",3,"90-94",0.093073660792644,0.0576395874021689,0.146895348027266,-2.27667000197402,0.0697169328989818
"manicaland",3,"95-99",0.103836784103915,0.0804299353535407,0.133069790496093,-2.15530227423127,0.020586787979797
"manicaland",3,"00-04",0.0848460066327844,0.063606662938406,0.112326772405689,-2.37825442314877,0.0251883920012327
"manicaland",3,"05-09",0.109770045089101,0.08843022177228,0.135494115980212,-2.09309212719824,0.0149770939646741
"manicaland",3,"10-14",NA,NA,NA,NA,NA
"mashonaland central",4,"80-84",0.160851468804942,0.073500738286732,0.316545113434735,-1.65190633924112,0.202604555785933
"mashonaland central",4,"85-89",0.0715797563949597,0.0418999956595347,0.119657460508028,-2.56267217691707,0.0836876059165681
"mashonaland central",4,"90-94",0.100862352930097,0.0640324440072245,0.15535969024239,-2.1876793890129,0.0636585387572702
"mashonaland central",4,"95-99",0.107630323002041,0.0782755371586187,0.146247003582867,-2.11517806250877,0.0320409244285933
"mashonaland central",4,"00-04",0.100785578607514,0.0751720570315541,0.133863215248964,-2.1885262410043,0.0268738805875383
"mashonaland central",4,"05-09",0.0974815695712584,0.0785460945795333,0.120385520837634,-2.22552578142921,0.0145898887106204
"mashonaland central",4,"10-14",NA,NA,NA,NA,NA
"mashonaland east",5,"80-84",0.0938686694355767,0.0481988812611039,0.174861810509498,-2.267287580306,0.133353848329802
"mashonaland east",5,"85-89",0.0776984472168976,0.0384242414594241,0.150819358191081,-2.47403696100358,0.14481191473392
"mashonaland east",5,"90-94",0.0261692242625337,0.010674570982439,0.0627290359318517,-3.61665347314411,0.216757824686133
"mashonaland east",5,"95-99",0.0451483529560369,0.0289409015316896,0.0697800498943863,-3.05160218518565,0.0554500982899345
"mashonaland east",5,"00-04",0.0547270676290705,0.0353575319937247,0.0837859670424184,-2.84911527825592,0.0543982358929652
"mashonaland east",5,"05-09",0.0663859632422968,0.043535171326699,0.099977006405128,-2.64357747876529,0.0518039868399216
"mashonaland east",5,"10-14",NA,NA,NA,NA,NA
"mashonaland west",6,"80-84",0.107435479279951,0.0520090283716117,0.208913173074046,-2.11720832852884,0.16070844046138
"mashonaland west",6,"85-89",0.0954074466246451,0.0578650234534279,0.153342722293542,-2.24932799278683,0.0761076850245561
"mashonaland west",6,"90-94",0.0805505304491837,0.0405244425068309,0.15377441834117,-2.43489039332472,0.138567989867351
"mashonaland west",6,"95-99",0.0449576660711427,0.0284377582563767,0.0703790561874935,-3.05603437521059,0.0587720852847817
"mashonaland west",6,"00-04",0.0611618843128957,0.0432184130241561,0.0858864093938684,-2.73111887343671,0.0349072719051644
"mashonaland west",6,"05-09",0.112444291773234,0.0809595792462229,0.154119913077235,-2.06601337445026,0.034371154483961
"mashonaland west",6,"10-14",NA,NA,NA,NA,NA
"masvingo",7,"80-84",0.0963744858070065,0.0382535343468308,0.222383148076466,-2.23817352382051,0.253255175829091
"masvingo",7,"85-89",0.0486142973916568,0.0189449488396812,0.119107144926119,-2.97400188348942,0.246495647402862
"masvingo",7,"90-94",0.0517458291214884,0.029318589501359,0.0897426728134275,-2.90827874684909,0.0910772852040367
"masvingo",7,"95-99",0.0660630448398564,0.0410912270434736,0.104555936293421,-2.64879942518628,0.0653926878688062
"masvingo",7,"00-04",0.072725635756044,0.0490201616564956,0.106609618502859,-2.54555554557172,0.045855710763205
"masvingo",7,"05-09",0.0664672942063133,0.0464302723230523,0.0942962287615169,-2.64226598779947,0.0375888763376161
"masvingo",7,"10-14",NA,NA,NA,NA,NA
"matabeleland north",8,"80-84",0.136508475597319,0.0438056818896649,0.352972845881191,-1.84459737715382,0.399361450168685
"matabeleland north",8,"85-89",0.0606375878075692,0.0288189996754648,0.123132507089171,-2.74028639857911,0.157238897223906
"matabeleland north",8,"90-94",0.00720389116841391,0.00185238099642466,0.0275885376732263,-4.92590399440034,0.483983159652715
"matabeleland north",8,"95-99",0.0339663141657769,0.0193863546984931,0.0588533746397137,-3.34782943140939,0.0863011248705182
"matabeleland north",8,"00-04",0.03997789708063,0.0206794654862307,0.0758903384574293,-3.17862957966621,0.120048353498557
"matabeleland north",8,"05-09",0.0461672169186237,0.0299059939549202,0.070626663248443,-3.02821842059287,0.052976049855953
"matabeleland north",8,"10-14",NA,NA,NA,NA,NA
"matabeleland south",9,"80-84",0.0935078301814626,0.0444428101806082,0.186186401992003,-2.27153721429572,0.165171261100252
"matabeleland south",9,"85-89",0.0506241610197662,0.0189767370053894,0.128155211227281,-2.93137580422781,0.267661127116804
"matabeleland south",9,"90-94",0.0268130317241909,0.0123953859910967,0.0570320845657277,-3.5916881925308,0.160933758045134
"matabeleland south",9,"95-99",0.0412658450524849,0.0211580815336278,0.0789420359261293,-3.14557866425363,0.123495661824995
"matabeleland south",9,"00-04",0.0299748409501893,0.0170665406367097,0.0521285721928106,-3.47696361350841,0.0865045776727933
"matabeleland south",9,"05-09",0.047914519168474,0.0273489317870669,0.0826310236807605,-2.9892362488984,0.088209721369209
"matabeleland south",9,"10-14",NA,NA,NA,NA,NA
"midlands",10,"80-84",0.100491326981966,0.0448681059266229,0.209915918885388,-2.19177727029922,0.195382439311605
"midlands",10,"85-89",0.0770948264157696,0.0431574216892685,0.133982473614709,-2.48249031598848,0.098873505546859
"midlands",10,"90-94",0.0144759342758783,0.00531786346207309,0.0387903755509084,-4.22068598062769,0.265900288691741
"midlands",10,"95-99",0.0491233829058537,0.0267905505487116,0.088382360620937,-2.96304916225339,0.103156491406357
"midlands",10,"00-04",0.0620065328309111,0.0420854542640875,0.0904666759018547,-2.71650323660872,0.0434511190757823
"midlands",10,"05-09",0.0877722564303101,0.067628315424779,0.113187920316404,-2.34114421300657,0.020783893664285
"midlands",10,"10-14",NA,NA,NA,NA,NA
