"CountryName","Year","Lower","Median","Upper"
"Burkina Faso",2007,127.2,139.9,153.4
"Burkina Faso",2008,117.9,130.4,144.3
"Burkina Faso",2009,108.3,121.4,136.1
"Burkina Faso",2010,98.9,113.5,129.7
"Burkina Faso",2011,90.5,106.9,124.8
"Burkina Faso",2012,82.8,101.4,121.9
"Burkina Faso",2013,76.2,96.6,120.1
"Burkina Faso",2014,70.2,92.4,119.6
"Burundi",1980,200.8,221.8,244.6
"Burundi",1981,192.2,212.3,233.7
"Burundi",1982,182.6,202.3,222.7
"Burundi",1983,173.3,192.6,213
"Burundi",1984,164.8,184.2,204.6
"Burundi",1985,158,177.5,198.1
"Burundi",1986,154,172.9,193.4
"Burundi",1987,152.6,170.6,190.2
"Burundi",1988,153,170.1,188.7
"Burundi",1989,154,170.7,189.1
"Burundi",1990,155.4,171.8,190.3
"Burundi",1991,156.2,172.9,192
"Burundi",1992,156.6,173.5,193.6
"Burundi",1993,155.9,173.5,194.2
"Burundi",1994,154.2,172.5,193.7
"Burundi",1995,152.4,170.5,192.2
"Burundi",1996,149.6,167.7,189.4
"Burundi",1997,146.3,164.4,185.7
"Burundi",1998,142.8,160.5,181.4
"Burundi",1999,139,156.4,176.7
"Burundi",2000,134.9,152.2,172
"Burundi",2001,130.7,147.8,167.2
"Burundi",2002,126.3,143.2,162.1
"Burundi",2003,121.3,138.3,157.3
"Burundi",2004,115.6,133,152.3
"Burundi",2005,109.1,127.1,147.1
"Burundi",2006,102,120.9,142.1
"Burundi",2007,94.2,114.5,138.4
"Burundi",2008,86.8,108.6,135.8
"Burundi",2009,79.3,103.5,133.7
"Burundi",2010,72.8,98.8,132.3
"Burundi",2011,66.9,94.9,131.5
"Burundi",2012,61.9,91.2,130.5
"Burundi",2013,57.4,87.8,130.5
"Burundi",2014,53.2,84.6,130.7
"Cambodia",1980,164.3,181.4,201.1
"Cambodia",1981,145.1,159.1,174.7
"Cambodia",1982,130,142,154.9
"Cambodia",1983,119.4,130.4,142.1
"Cambodia",1984,114.2,124.1,134.8
"Cambodia",1985,111.7,121.2,131.2
"Cambodia",1986,110.6,119.6,129.2
"Cambodia",1987,109.7,118.4,127.5
"Cambodia",1988,109,117.6,126.8
"Cambodia",1989,108.9,117.4,126.3
"Cambodia",1990,108.8,117.3,126.2
"Cambodia",1991,109,117.4,126.4
"Cambodia",1992,109.7,117.8,126.7
"Cambodia",1993,110.2,118.6,127.7
"Cambodia",1994,111.5,120,129
"Cambodia",1995,112.8,121.5,131
"Cambodia",1996,113.7,122.6,132.4
"Cambodia",1997,113.7,122.5,132.4
"Cambodia",1998,111.6,120.4,130.6
"Cambodia",1999,107,115.7,125.7
"Cambodia",2000,100,108.3,118.3
"Cambodia",2001,91,98.7,107.5
"Cambodia",2002,80.8,88.3,96.2
"Cambodia",2003,71.3,78.8,86.8
"Cambodia",2004,64.2,71.3,79.1
"Cambodia",2005,58.5,65.4,73
"Cambodia",2006,53.7,60.4,67.9
"Cambodia",2007,49.2,55.8,63.5
"Cambodia",2008,44.8,51.5,59.5
"Cambodia",2009,40.8,47.3,55.1
"Cambodia",2010,36.9,43.1,50.8
"Cambodia",2011,33.1,39.3,46.7
"Cambodia",2012,29.3,35.8,43.7
"Cambodia",2013,25.6,32.9,42.2
"Cambodia",2014,22.4,30.6,41.5
"Cameroon",1980,167.2,181.6,197.5
"Cameroon",1981,162.9,176.3,191.3
"Cameroon",1982,157.6,170.1,184.2
"Cameroon",1983,151.7,163.4,176.2
"Cameroon",1984,145.6,156.6,168.4
"Cameroon",1985,139.9,150.2,161.2
"Cameroon",1986,135,144.7,155.2
"Cameroon",1987,131.1,140.7,150.8
"Cameroon",1988,128.6,138.1,148
"Cameroon",1989,127.7,137.2,147
"Cameroon",1990,128.4,138,147.7
"Cameroon",1991,130.3,140,150.1
"Cameroon",1992,132.7,142.8,153.2
"Cameroon",1993,135.6,146,156.6
"Cameroon",1994,138.1,149,160.3
"Cameroon",1995,140.8,151.8,163.6
"Cameroon",1996,142.6,154,166.4
"Cameroon",1997,143.2,155.3,168.2
"Cameroon",1998,142.9,155.3,168.9
"Cameroon",1999,140.9,153.8,167.7
