FileName,SurveyName,RegionNameOrdered
egypt1988,DHS 1988,urban governorates
egypt1992,DHS 1992,lower egypt
egypt1995,DHS 1995,upper egypt
egypt2000,DHS 2000,frontier governorates
egypt2003,DHS 2003,
egypt2005,DHS 2005,
egypt2008,DHS 2008,
egypt2014,DHS 2014,
