FileName,SurveyName,RegionNameOrdered
Zambia1992,DHS 1992,central
Zambia1996,DHS 1996,copperbelt
Zambia200102,DHS 2001-02,eastern
Zambia2007,DHS 2007,luapula
Zambia2014,DHS 2014,lusaka
,,northern
,,north-western
,,southern
,,western
