"Filenames","SurveyNames","RegionNames"
"Namibia2000","DHS2000","caprivi"
"Namibia2007","DHS2007","erongo"
"Namibia2013","DHS2013","hardap"
"","","karas"
"","","kavango"
"","","khomas"
"","","kunene"
"","","ohangwena"
"","","omaheke"
"","","omusati"
"","","oshana"
"","","oshikoto"
"","","otjozondjupa"
