FileName,SurveyName,RegionNameOrdered
Morocco1987,DHS 1987,nord-ouest
Morocco1992,DHS 1992,centre-nord
Morocco2003,DHS 2003,centre
,,oriental
,,centre-sud
,,tensift
,,sud
