FileName,SurveyName,RegionNameOrdered
Zimbabwe1994,DHS 1994,manicaland
Zimbabwe1999,DHS 1999,mashonaland central
Zimbabwe2006,DHS 2006,mashonaland east
Zimbabwe201011,DHS 2010-11,mashonaland west
Zimbabwe2015,DHS 2015,matabeleland north
,,matabeleland south
,,midlands
,,masvingo
,,harare
,,bulawayo
