FileName,SurveyName,RegionNameOrdered
Rwanda2000,DHS 2000,Kigali
Rwanda2005,DHS 2005,South
Rwanda2008,DHS 2008,West
Rwanda2010,DHS 2010,North
Rwanda2015,DHS 2015,
,,East
