FileName,SurveyName,RegionNameOrdered
Niger1992,DHS 1992,niamey
Niger1998,DHS 1998,dosso
Niger2006,DHS 2006,maradi
Niger2012,DHS 2012,tashoua/agadez
,,tillaberi
,,zinda/diffa
