FileName,SurveyName,RegionNameOrdered
burkinafaso1993,DHS 1993,North
burkinafaso1999,DHS 1999,East
burkinafaso2003,DHS 2003,West
burkinafaso2010,DHS 2010,Central/South
,,
,,
,,
