"Filenames","SurveyNames","RegionNames"
"gabon.births.2000","DHS2000","libreville,port-gentil"
"gabon.births.2012","DHS2012","east (haut-ogooué & ogooué-lolo)"
"","","north (ogooué-ivindo & woleu-ntem)"
"","","south (ngounié, nyanga)"
"","","west (estuaire, moyen-ogooué & ogooué-maritime)"
