"Filenames","SurveyNames","RegionNames"
"Togo1998","DHS1998","centrale"
"Togo2013","DHS2013","grande agglomération de lomé"
"","","kara"
"","","maritime (sans agglomération de lomé)"
"","","plateaux"
"","","savanes"
