FileName,SurveyName,RegionNameOrdered
cameroon1998,DHS 1998,adam/nord/ext-nord
cameroon2004,DHS 2004,centre/sud/est
cameroon2011,DHS 2011,nord-ouest/sud-ouest
,,ouest/littoral
,,yaounde/douala
