"Filenames","SurveyNames","RegionNames"
"Guinea1999","DHS1999","Lower Guinea"
"Guinea2005","DHS2005","Central Guinea"
"Guinea2012","DHS2012","Upper Guinea"
"","","Forest Guinea"
"","","Conakry"
"","","NA"
