FileName,SurveyName,RegionNameOrdered
cambodia2000,DHS 2000,banteay mean chey
cambodia2005,DHS 2005,kampong cham
cambodia2010,DHS 2010,kampong chhnang
cambodia2014,DHS 2014,kampong speu
,,kampong thom
,,kandal
,,kratie
,,phnom penh
,,prey veng
,,pursat
,,siem reap
,,svay rieng
,,takeo
,,otdar mean chey
,,battambang & krong pailin
,,kampot & krong kep
,,krong preah sihanouk & kaoh kong
,,preah vihear & steung treng
,,mondol kiri & rattanak kiri
