"Filenames","SurveyNames","RegionNames"
"Lesotho2005","DHS2005","butha-buthe"
"Lesotho2010","DHS2010","mafeteng"
"Lesotho2014","DHS2014","leribe"
"","","mokhotlong"
"","","thaba-tseka"
"","","maseru"
"","","berea"
"","","mohale's hoek"
"","","qasha's nek"
"","","quthing"
