FileName,SurveyName,RegionNameOrdered
Malawi1992,DHS 1992,central region
Malawi2000,DHS 2000,northern region
Malawi2004,DHS 2004,southern region
Malawi2010,DHS 2010,
Malawi2015,DHS 2015,
