FileName,SurveyName,RegionNameOrdered
mali1987,DHS 1987,Bamako
mali1995,DHS 1995,"Kayes, Koulikoro"
mali2001,DHS 2001,"Mopti, Tombouctou, Gao, Kidal"
mali2006,DHS 2006,"Sikasso, Segou"
