FileName,SurveyName,RegionNameOrdered
phil1993,DHS 1993,National Capital Region
phil1998,DHS 1998,Ilocos Region
phil2003,DHS 2003,Cagayan Valley
phil2008,DHS 2008,Central Luzon
phil2013,DHS 2013,Southern Tagalog
,,Bicol
,,Western Visayas
,,Central Visayas
,,Eastern Visayas
,,Western Mindanao
,,Northern Mindanao
,,Southern Mindanao
,,Central Mindanao
,,Cordillera Admin Region
,,
,,
,,
