FileName,SurveyName,RegionNameOrdered
kenya1993,DHS 1993,nairobi
kenya1998,DHS 1998,central
kenya2003,DHS 2003,coast
kenya2008,DHS 2008,eastern
kenya2014,DHS 2014,nyanza
,,rift valley
,,western
,,northeastern
