Filenames,SurveyNames,RegionNames
Senegal1992,DHS1992,dakar
Senegal1997,DHS1997,diourbel
Senegal2005,DHS2005,fatick
Senegal2010,DHS2010,kaolack
Senegal2012,DHS2012,kolda
Senegal2014,DHS2014,louga
Senegal2015,DHS2015,matam
Senegal2016,DHS2016,saint-louis
,,tambacounda
,,thies
,,zuguinchor
