FileName,SurveyName,RegionNameOrdered
Ghana1988,DHS 1989,western
Ghana1993,DHS 1993,central
Ghana1998,DHS 1998,greater accra
Ghana2003,DHS 2003,eastern
Ghana2008,DHS 2008,volta
Ghana2014,DHS 2014,ashanti
,,brong ahafo
,,"upper w,e & northern"
