FileName,SurveyName,RegionNameOrdered
Uganda1989,DHS 1989,Central
Uganda1995,DHS 1995,Eastern
Uganda2001,DHS 2001,Northern
Uganda2006,DHS 2006,Western
Uganda2011,DHS 2011,
