period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.958,,,,,
1-5,0.946,,,,,
2-6,0.931,,,,,
3-7,0.913,,,,,
4-8,0.890,,,,,
5-9,0.864,,,,,
6-10,0.835,,,,,
7-11,0.807,,,,,
8-12,0.781,,,,,
9-13,0.758,,,,,
10-14,0.739,,,,,
11-15,0.724,,,,,
12-16,0.714,,,,,
13-17,0.710,,,,,
14-18,0.712,,,,,
15-19,0.721,,,,,
16-20,0.736,,,,,
17-21,0.757,,,,,
18-22,0.783,,,,,
19-23,0.813,,,,,
20-24,0.845,,,,,
