period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.946,,,,,
1-5,0.930,,,,,
2-6,0.915,,,,,
3-7,0.900,,,,,
4-8,0.888,,,,,
5-9,0.880,,,,,
6-10,0.875,,,,,
7-11,0.875,,,,,
8-12,0.879,,,,,
9-13,0.887,,,,,
10-14,0.898,,,,,
11-15,0.912,,,,,
12-16,0.927,,,,,
13-17,0.942,,,,,
14-18,0.957,,,,,
15-19,0.970,,,,,
16-20,0.980,,,,,
17-21,0.988,,,,,
18-22,0.993,,,,,
19-23,0.996,,,,,
20-24,0.997,,,,,
