period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.981,,,,,
1-5,0.975,,,,,
2-6,0.968,,,,,
3-7,0.961,,,,,
4-8,0.956,,,,,
5-9,0.951,,,,,
6-10,0.949,,,,,
7-11,0.950,,,,,
8-12,0.953,,,,,
9-13,0.959,,,,,
10-14,0.967,,,,,
11-15,0.975,,,,,
12-16,0.983,,,,,
13-17,0.990,,,,,
14-18,0.994,,,,,
15-19,0.997,,,,,
16-20,0.998,,,,,
17-21,0.999,,,,,
18-22,0.999,,,,,
19-23,0.999,,,,,
20-24,0.999,,,,,
