period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.960,,,,,
1-5,0.944,,,,,
2-6,0.926,,,,,
3-7,0.905,,,,,
4-8,0.884,,,,,
5-9,0.863,,,,,
6-10,0.844,,,,,
7-11,0.829,,,,,
8-12,0.819,,,,,
9-13,0.814,,,,,
10-14,0.816,,,,,
11-15,0.824,,,,,
12-16,0.838,,,,,
13-17,0.857,,,,,
14-18,0.878,,,,,
15-19,0.901,,,,,
16-20,0.924,,,,,
17-21,0.945,,,,,
18-22,0.962,,,,,
19-23,0.975,,,,,
20-24,0.985,,,,,
