period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.977,,,,,
1-5,0.969,,,,,
2-6,0.959,,,,,
3-7,0.948,,,,,
4-8,0.936,,,,,
5-9,0.925,,,,,
6-10,0.916,,,,,
7-11,0.910,,,,,
8-12,0.908,,,,,
9-13,0.911,,,,,
10-14,0.917,,,,,
11-15,0.928,,,,,
12-16,0.941,,,,,
13-17,0.955,,,,,
14-18,0.968,,,,,
15-19,0.979,,,,,
16-20,0.987,,,,,
17-21,0.993,,,,,
18-22,0.996,,,,,
19-23,0.998,,,,,
20-24,,,,,,
