period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.988,,,,,
1-5,0.985,,,,,
2-6,0.980,,,,,
3-7,0.974,,,,,
4-8,0.966,,,,,
5-9,0.956,,,,,
6-10,0.944,,,,,
7-11,0.932,,,,,
8-12,0.920,,,,,
9-13,0.910,,,,,
10-14,0.901,,,,,
11-15,0.895,,,,,
12-16,0.892,,,,,
13-17,0.893,,,,,
14-18,0.898,,,,,
15-19,0.907,,,,,
16-20,0.920,,,,,
17-21,0.935,,,,,
18-22,0.950,,,,,
19-23,0.965,,,,,
20-24,0.977,,,,,
