period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.973,,,,,
1-5,0.963,,,,,
2-6,0.952,,,,,
3-7,0.940,,,,,
4-8,0.928,,,,,
5-9,0.918,,,,,
6-10,0.910,,,,,
7-11,0.906,,,,,
8-12,0.907,,,,,
9-13,0.913,,,,,
10-14,0.923,,,,,
11-15,0.936,,,,,
12-16,0.951,,,,,
13-17,0.965,,,,,
14-18,0.977,,,,,
15-19,0.986,,,,,
16-20,0.992,,,,,
17-21,0.996,,,,,
18-22,0.998,,,,,
19-23,0.999,,,,,
20-24,1.000,,,,,
