period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.966,,,,,
1-5,0.954,,,,,
2-6,0.941,,,,,
3-7,0.927,,,,,
4-8,0.913,,,,,
5-9,0.900,,,,,
6-10,0.889,,,,,
7-11,0.879,,,,,
8-12,0.873,,,,,
9-13,0.871,,,,,
10-14,0.872,,,,,
11-15,0.877,,,,,
12-16,0.886,,,,,
13-17,0.897,,,,,
14-18,0.909,,,,,
15-19,0.923,,,,,
16-20,0.936,,,,,
17-21,0.948,,,,,
18-22,0.960,,,,,
19-23,0.969,,,,,
20-24,0.977,,,,,
