period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.908,,,,,
1-5,0.883,,,,,
2-6,0.859,,,,,
3-7,0.838,,,,,
4-8,0.822,,,,,
5-9,0.813,,,,,
6-10,0.812,,,,,
7-11,0.820,,,,,
8-12,0.835,,,,,
9-13,0.857,,,,,
10-14,0.883,,,,,
11-15,0.909,,,,,
12-16,0.933,,,,,
13-17,0.954,,,,,
14-18,0.970,,,,,
15-19,0.981,,,,,
16-20,0.989,,,,,
17-21,0.993,,,,,
18-22,0.996,,,,,
19-23,0.998,,,,,
20-24,0.998,,,,,
