period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.945,,,,,
1-5,0.928,,,,,
2-6,0.911,,,,,
3-7,0.895,,,,,
4-8,0.883,,,,,
5-9,0.875,,,,,
6-10,0.872,,,,,
7-11,0.874,,,,,
8-12,0.882,,,,,
9-13,0.894,,,,,
10-14,0.908,,,,,
11-15,0.924,,,,,
12-16,0.939,,,,,
13-17,0.954,,,,,
14-18,0.966,,,,,
15-19,0.976,,,,,
16-20,0.983,,,,,
17-21,0.988,,,,,
18-22,0.990,,,,,
19-23,0.990,,,,,
20-24,0.990,,,,,
