period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.982,,,,,
1-5,0.975,,,,,
2-6,0.967,,,,,
3-7,0.958,,,,,
4-8,0.948,,,,,
5-9,0.937,,,,,
6-10,0.925,,,,,
7-11,0.913,,,,,
8-12,0.901,,,,,
9-13,0.890,,,,,
10-14,0.881,,,,,
11-15,0.873,,,,,
12-16,0.867,,,,,
13-17,0.864,,,,,
14-18,0.862,,,,,
15-19,0.864,,,,,
16-20,0.868,,,,,
17-21,0.875,,,,,
18-22,0.885,,,,,
19-23,0.897,,,,,
20-24,0.909,,,,,
