period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.994,,,,,
1-5,0.992,,,,,
2-6,0.989,,,,,
3-7,0.986,,,,,
4-8,0.983,,,,,
5-9,0.979,,,,,
6-10,0.974,,,,,
7-11,0.970,,,,,
8-12,0.965,,,,,
9-13,0.960,,,,,
10-14,0.955,,,,,
11-15,0.950,,,,,
12-16,0.945,,,,,
13-17,0.941,,,,,
14-18,0.938,,,,,
15-19,0.937,,,,,
16-20,0.937,,,,,
17-21,0.938,,,,,
18-22,0.942,,,,,
19-23,0.948,,,,,
20-24,0.956,,,,,
