period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.977,,,,,
1-5,0.969,,,,,
2-6,0.960,,,,,
3-7,0.948,,,,,
4-8,0.935,,,,,
5-9,0.920,,,,,
6-10,0.903,,,,,
7-11,0.887,,,,,
8-12,0.872,,,,,
9-13,0.858,,,,,
10-14,0.848,,,,,
11-15,0.841,,,,,
12-16,0.836,,,,,
13-17,0.833,,,,,
14-18,0.834,,,,,
15-19,0.836,,,,,
16-20,0.841,,,,,
17-21,0.848,,,,,
18-22,0.857,,,,,
19-23,0.868,,,,,
20-24,0.880,,,,,
