period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.962,,,,,
1-5,0.947,,,,,
2-6,0.931,,,,,
3-7,0.913,,,,,
4-8,0.894,,,,,
5-9,0.876,,,,,
6-10,0.860,,,,,
7-11,0.847,,,,,
8-12,0.838,,,,,
9-13,0.835,,,,,
10-14,0.836,,,,,
11-15,0.844,,,,,
12-16,0.855,,,,,
13-17,0.870,,,,,
14-18,0.887,,,,,
15-19,0.905,,,,,
16-20,0.922,,,,,
17-21,0.939,,,,,
18-22,0.953,,,,,
19-23,0.966,,,,,
20-24,0.975,,,,,
