period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.988,,,,,
1-5,0.984,,,,,
2-6,0.978,,,,,
3-7,0.972,,,,,
4-8,0.966,,,,,
5-9,0.960,,,,,
6-10,0.953,,,,,
7-11,0.947,,,,,
8-12,0.943,,,,,
9-13,0.939,,,,,
10-14,0.938,,,,,
11-15,0.939,,,,,
12-16,0.942,,,,,
13-17,0.948,,,,,
14-18,0.956,,,,,
15-19,0.965,,,,,
16-20,0.975,,,,,
17-21,0.983,,,,,
18-22,0.990,,,,,
19-23,0.994,,,,,
20-24,0.997,,,,,
