period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.965,,,,,
1-5,0.955,,,,,
2-6,0.946,,,,,
3-7,0.940,,,,,
4-8,0.936,,,,,
5-9,0.937,,,,,
6-10,0.942,,,,,
7-11,0.949,,,,,
8-12,0.960,,,,,
9-13,0.970,,,,,
10-14,0.980,,,,,
11-15,0.987,,,,,
12-16,0.993,,,,,
13-17,0.996,,,,,
14-18,0.998,,,,,
15-19,0.999,,,,,
16-20,1.000,,,,,
17-21,1.000,,,,,
18-22,1.000,,,,,
19-23,1.000,,,,,
20-24,,,,,,
