period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.980,,,,,
1-5,0.974,,,,,
2-6,0.967,,,,,
3-7,0.958,,,,,
4-8,0.947,,,,,
5-9,0.933,,,,,
6-10,0.917,,,,,
7-11,0.901,,,,,
8-12,0.885,,,,,
9-13,0.869,,,,,
10-14,0.855,,,,,
11-15,0.843,,,,,
12-16,0.833,,,,,
13-17,0.827,,,,,
14-18,0.824,,,,,
15-19,0.826,,,,,
16-20,0.831,,,,,
17-21,0.841,,,,,
18-22,0.854,,,,,
19-23,0.870,,,,,
20-24,0.887,,,,,
