period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.964,,,,,
1-5,0.955,,,,,
2-6,0.947,,,,,
3-7,0.942,,,,,
4-8,0.940,,,,,
5-9,0.943,,,,,
6-10,0.949,,,,,
7-11,0.959,,,,,
8-12,0.969,,,,,
9-13,0.979,,,,,
10-14,0.987,,,,,
11-15,0.993,,,,,
12-16,0.996,,,,,
13-17,0.998,,,,,
14-18,0.999,,,,,
15-19,0.999,,,,,
16-20,0.999,,,,,
17-21,0.998,,,,,
18-22,0.997,,,,,
19-23,0.995,,,,,
20-24,0.995,,,,,
