period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.958,,,,,
1-5,0.943,,,,,
2-6,0.926,,,,,
3-7,0.909,,,,,
4-8,0.892,,,,,
5-9,0.876,,,,,
6-10,0.863,,,,,
7-11,0.853,,,,,
8-12,0.847,,,,,
9-13,0.844,,,,,
10-14,0.845,,,,,
11-15,0.850,,,,,
12-16,0.858,,,,,
13-17,0.868,,,,,
14-18,0.880,,,,,
15-19,0.895,,,,,
16-20,0.910,,,,,
17-21,0.926,,,,,
18-22,0.942,,,,,
19-23,0.957,,,,,
20-24,0.969,,,,,
