period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.977,,,,,
1-5,0.970,,,,,
2-6,0.959,,,,,
3-7,0.946,,,,,
4-8,0.931,,,,,
5-9,0.913,,,,,
6-10,0.894,,,,,
7-11,0.875,,,,,
8-12,0.856,,,,,
9-13,0.840,,,,,
10-14,0.826,,,,,
11-15,0.815,,,,,
12-16,0.808,,,,,
13-17,0.805,,,,,
14-18,0.806,,,,,
15-19,0.812,,,,,
16-20,0.822,,,,,
17-21,0.835,,,,,
18-22,0.852,,,,,
19-23,0.870,,,,,
20-24,0.890,,,,,
