period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.956,,,,,
1-5,0.943,,,,,
2-6,0.930,,,,,
3-7,0.918,,,,,
4-8,0.908,,,,,
5-9,0.902,,,,,
6-10,0.900,,,,,
7-11,0.901,,,,,
8-12,0.907,,,,,
9-13,0.915,,,,,
10-14,0.926,,,,,
11-15,0.937,,,,,
12-16,0.949,,,,,
13-17,0.960,,,,,
14-18,0.969,,,,,
15-19,0.977,,,,,
16-20,0.983,,,,,
17-21,0.988,,,,,
18-22,0.991,,,,,
19-23,0.993,,,,,
20-24,0.994,,,,,
