period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.938,,,,,
1-5,0.919,,,,,
2-6,0.901,,,,,
3-7,0.884,,,,,
4-8,0.870,,,,,
5-9,0.861,,,,,
6-10,0.858,,,,,
7-11,0.862,,,,,
8-12,0.872,,,,,
9-13,0.887,,,,,
10-14,0.906,,,,,
11-15,0.926,,,,,
12-16,0.945,,,,,
13-17,0.962,,,,,
14-18,0.975,,,,,
15-19,0.985,,,,,
16-20,0.992,,,,,
17-21,0.995,,,,,
18-22,0.998,,,,,
19-23,0.999,,,,,
20-24,0.999,,,,,
