period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.984,,,,,
1-5,0.978,,,,,
2-6,0.971,,,,,
3-7,0.960,,,,,
4-8,0.947,,,,,
5-9,0.932,,,,,
6-10,0.915,,,,,
7-11,0.897,,,,,
8-12,0.878,,,,,
9-13,0.859,,,,,
10-14,0.842,,,,,
11-15,0.827,,,,,
12-16,0.815,,,,,
13-17,0.807,,,,,
14-18,0.803,,,,,
15-19,0.804,,,,,
16-20,0.810,,,,,
17-21,0.821,,,,,
18-22,0.837,,,,,
19-23,0.856,,,,,
20-24,0.878,,,,,
