period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.925,,,,,
1-5,0.900,,,,,
2-6,0.872,,,,,
3-7,0.844,,,,,
4-8,0.815,,,,,
5-9,0.789,,,,,
6-10,0.766,,,,,
7-11,0.749,,,,,
8-12,0.739,,,,,
9-13,0.738,,,,,
10-14,0.745,,,,,
11-15,0.762,,,,,
12-16,0.785,,,,,
13-17,0.813,,,,,
14-18,0.845,,,,,
15-19,0.877,,,,,
16-20,0.907,,,,,
17-21,0.933,,,,,
18-22,0.954,,,,,
19-23,0.970,,,,,
20-24,0.981,,,,,
