period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.950,,,,,
1-5,0.933,,,,,
2-6,0.913,,,,,
3-7,0.891,,,,,
4-8,0.867,,,,,
5-9,0.842,,,,,
6-10,0.819,,,,,
7-11,0.798,,,,,
8-12,0.779,,,,,
9-13,0.762,,,,,
10-14,0.750,,,,,
11-15,0.742,,,,,
12-16,0.738,,,,,
13-17,0.737,,,,,
14-18,0.741,,,,,
15-19,0.747,,,,,
16-20,0.755,,,,,
17-21,0.766,,,,,
18-22,0.780,,,,,
19-23,0.796,,,,,
20-24,0.815,,,,,
