period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.912,,,,,
1-5,0.896,,,,,
2-6,0.884,,,,,
3-7,0.879,,,,,
4-8,0.882,,,,,
5-9,0.892,,,,,
6-10,0.909,,,,,
7-11,0.930,,,,,
8-12,0.951,,,,,
9-13,0.969,,,,,
10-14,0.982,,,,,
11-15,0.989,,,,,
12-16,0.994,,,,,
13-17,0.996,,,,,
14-18,0.997,,,,,
15-19,0.996,,,,,
16-20,0.994,,,,,
17-21,0.991,,,,,
18-22,0.987,,,,,
19-23,0.974,,,,,
20-24,,,,,,
