period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.926,,,,,
1-5,0.911,,,,,
2-6,0.898,,,,,
3-7,0.888,,,,,
4-8,0.883,,,,,
5-9,0.883,,,,,
6-10,0.888,,,,,
7-11,0.898,,,,,
8-12,0.911,,,,,
9-13,0.926,,,,,
10-14,0.942,,,,,
11-15,0.953,,,,,
12-16,0.963,,,,,
13-17,0.971,,,,,
14-18,0.975,,,,,
15-19,0.969,,,,,
16-20,0.954,,,,,
17-21,0.933,,,,,
18-22,0.895,,,,,
19-23,0.806,,,,,
20-24,,,,,,
