period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.882,,,,,
1-5,0.850,,,,,
2-6,0.818,,,,,
3-7,0.786,,,,,
4-8,0.754,,,,,
5-9,0.726,,,,,
6-10,0.703,,,,,
7-11,0.688,,,,,
8-12,0.683,,,,,
9-13,0.691,,,,,
10-14,0.709,,,,,
11-15,0.737,,,,,
12-16,0.771,,,,,
13-17,0.810,,,,,
14-18,0.849,,,,,
15-19,0.887,,,,,
16-20,0.920,,,,,
17-21,0.945,,,,,
18-22,0.964,,,,,
19-23,0.977,,,,,
20-24,0.983,,,,,
