period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.934,,,,,
1-5,0.915,,,,,
2-6,0.895,,,,,
3-7,0.874,,,,,
4-8,0.854,,,,,
5-9,0.835,,,,,
6-10,0.818,,,,,
7-11,0.804,,,,,
8-12,0.794,,,,,
9-13,0.788,,,,,
10-14,0.785,,,,,
11-15,0.787,,,,,
12-16,0.792,,,,,
13-17,0.801,,,,,
14-18,0.813,,,,,
15-19,0.827,,,,,
16-20,0.842,,,,,
17-21,0.860,,,,,
18-22,0.878,,,,,
19-23,0.898,,,,,
20-24,0.917,,,,,
