period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.954,,,,,
1-5,0.937,,,,,
2-6,0.917,,,,,
3-7,0.894,,,,,
4-8,0.871,,,,,
5-9,0.846,,,,,
6-10,0.822,,,,,
7-11,0.798,,,,,
8-12,0.775,,,,,
9-13,0.754,,,,,
10-14,0.735,,,,,
11-15,0.719,,,,,
12-16,0.706,,,,,
13-17,0.696,,,,,
14-18,0.690,,,,,
15-19,0.688,,,,,
16-20,0.690,,,,,
17-21,0.695,,,,,
18-22,0.705,,,,,
19-23,0.719,,,,,
20-24,0.739,,,,,
