period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.938,,,,,
1-5,0.919,,,,,
2-6,0.896,,,,,
3-7,0.871,,,,,
4-8,0.845,,,,,
5-9,0.821,,,,,
6-10,0.798,,,,,
7-11,0.780,,,,,
8-12,0.765,,,,,
9-13,0.756,,,,,
10-14,0.751,,,,,
11-15,0.751,,,,,
12-16,0.756,,,,,
13-17,0.766,,,,,
14-18,0.782,,,,,
15-19,0.802,,,,,
16-20,0.825,,,,,
17-21,0.852,,,,,
18-22,0.879,,,,,
19-23,0.905,,,,,
20-24,0.929,,,,,
