period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.926,,,,,
1-5,0.902,,,,,
2-6,0.877,,,,,
3-7,0.851,,,,,
4-8,0.825,,,,,
5-9,0.803,,,,,
6-10,0.784,,,,,
7-11,0.769,,,,,
8-12,0.759,,,,,
9-13,0.755,,,,,
10-14,0.755,,,,,
11-15,0.759,,,,,
12-16,0.768,,,,,
13-17,0.780,,,,,
14-18,0.796,,,,,
15-19,0.815,,,,,
16-20,0.835,,,,,
17-21,0.856,,,,,
18-22,0.878,,,,,
19-23,0.900,,,,,
20-24,0.921,,,,,
