period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.987,,,,,
1-5,0.986,,,,,
2-6,0.986,,,,,
3-7,0.983,,,,,
4-8,0.972,,,,,
5-9,0.952,,,,,
6-10,0.926,,,,,
7-11,0.883,,,,,
8-12,0.788,,,,,
9-13,,,,,,
10-14,,,,,,
11-15,,,,,,
12-16,,,,,,
13-17,,,,,,
14-18,,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
