period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.949,,,,,
1-5,0.937,,,,,
2-6,0.922,,,,,
3-7,0.907,,,,,
4-8,0.891,,,,,
5-9,0.874,,,,,
6-10,0.857,,,,,
7-11,0.839,,,,,
8-12,0.820,,,,,
9-13,0.800,,,,,
10-14,0.782,,,,,
11-15,0.766,,,,,
12-16,0.755,,,,,
13-17,0.747,,,,,
14-18,0.744,,,,,
15-19,0.744,,,,,
16-20,0.748,,,,,
17-21,0.755,,,,,
18-22,0.766,,,,,
19-23,0.782,,,,,
20-24,0.802,,,,,
