period of the estimtates before the survey,Bias (Reported U5MR/True U5MR),,,,,
,,,,,,
0-4,0.989,,,,,
1-5,0.989,,,,,
2-6,0.989,,,,,
3-7,0.987,,,,,
4-8,0.978,,,,,
5-9,0.963,,,,,
6-10,0.943,,,,,
7-11,0.910,,,,,
8-12,0.835,,,,,
9-13,,,,,,
10-14,,,,,,
11-15,,,,,,
12-16,,,,,,
13-17,,,,,,
14-18,,,,,,
15-19,,,,,,
16-20,,,,,,
17-21,,,,,,
18-22,,,,,,
19-23,,,,,,
20-24,,,,,,
